"CA150","CUGBP","ESRP1","ESRP2","FBP11","MAGOH","NOVA1","nSR100","PRP8","PSF","PTB","RAVER1","RBM17","RBM22","RBM3","RBM45","SAM68TV1","SC35","SF3BTV1","SF3BTV2","SKIP","SND1","SRM160","SRSF1","SRSF10","SRSF3","SRSF4","SRSF5","SRSF6","SRSF9","TIA1","TRA2A","TRA2B","U1","U11","U12","U2","U2AF1","U2AF2","U4","U4ATAC","U5","U6","U6ATAC","gleason8"
6805862,2237870,5805990,10444840,4138677,157659,264693,32408,19450410,30454,3579771,1880783,1717538,9815198,3998159,263272,17902970,1253830,1201733,9680515,36447,6620365,16514290,142864,6676616,15162880,2111186,6574787,388828,12070260,701107,2376727,1989893,13970050,11746460,466,7601302,1192280,1709319,616787300,10,10020740,18404600,22989,"N"
6743462,2963788,6650928,4486061,5186465,478374,449537,6376,33492880,1601,6293321,1199395,938138,7093898,11191920,698472,11191920,1926985,1922331,12761760,202176,10444840,9993757,230996,10640800,21308940,1775939,9034319,531080,13154380,1909097,4276718,3757140,16679920,16823740,550,3604587,1585607,862568,2027154000,14,10372930,34749930,56607,"N"
8930893,1544609,8334737,3688557,6681628,497473,732464,1481,20745860,1554,5282896,1463939,2236857,6932405,9525718,561961,14925100,1432631,534285,8239321,46309,11638750,10277180,50114,9149087,13230150,3058637,19405670,1222659,23022380,1249711,4012692,2069338,25208510,5832791,224,2040943,3435827,1454843,625348100,29,14319090,20508360,33029,"N"
4373850,1185243,4590564,1160931,4784845,145116,623418,4524,13674560,13201,2850003,1129200,1908988,10136800,5368749,427146,17985630,1172990,1624879,12471240,84468,7479757,24958480,580219,9090788,19153760,3187788,20087710,312760,18845910,1293634,5049478,3426522,26145770,17136550,1134,934969,1079104,781249,366121500,8,10277830,27223480,47847,"N"
4548473,781248,5331784,2012937,3853527,51722,1182516,4452,12471230,24868,3450274,852967,1712569,5033499,7061300,268201,12187320,1053901,603640,7309474,25683,7671641,7834298,103212,6326285,13469380,2046190,17097120,1013931,18921760,958954,2055230,3060894,15374900,10688150,174,1994480,1288186,1512926,1234065000,4,9181128,14286150,21792,"N"
5941242,1392561,10254180,2647538,5621793,141486,790296,3123,20745870,11684,4475741,1946955,1333879,4025876,4918913,262402,14253300,917586,373901,4496403,13478,13864820,6357478,36911,5346160,9398540,1923434,8088923,1070578,31109500,585837,1765679,1252592,10337490,3862412,254,8489709,5455401,2191967,588015900,3,8607824,32655120,31179,"N"
6514506,1258375,5913945,2476506,6121795,179360,2186926,6376,21376330,928,3005023,1569963,3529154,7077580,10067000,274109,32355700,1256728,5365,1741101,394,18362260,20294300,86828,12278900,15775190,4077131,13179890,520054,25935160,502076,3564888,1267098,36564940,2142066,5440,1753171,5439632,7636390,72460380,0,17985620,6380876,26475,"S"
5506481,1139740,3791909,3538791,3514428,140512,1835804,727,17335000,2503,2243030,1368512,2732223,7886597,16979420,586065,13240740,2700776,1085934,10254180,66173,11855160,20291450,93897,10148360,23119180,3848276,16979420,327661,49203260,4063131,6417135,4569471,41976210,4063131,919,774085,4148405,1492167,26260730,5,10113480,6454772,22874,"N"
2817376,926396,4176975,1980749,2876376,71398,377361,6376,9373396,1461,2916394,2810081,4799127,7192594,8607824,1220197,15378660,1762079,238637,7496998,55549,19316500,15538760,4989,7423119,18847940,5633921,22025930,520054,17951870,3889187,6338427,2659760,36398100,3096342,50,3363974,3012927,5846239,80143590,12,13029010,16707910,37614,"N"
8607819,1342185,6759003,1769393,5531895,222707,2381427,16812,17057790,1121,3506341,3924216,2387165,6932406,2409007,316099,15343290,1824991,13634,819957,557,5595961,8392011,11861,5509560,10360820,1996691,3988963,993369,7081027,797609,1591294,1111231,15333400,534285,660.54545,734153,1588961,3379503,7534129,0,7959577,9013540,4349,"S"
9266089,1073502,5115295,3175777,6697032,234821,1891592,7271,15664600,7321,5713148,2781926,2583489,9416667,6395587,476997,23438880,1808905,924265,13864810,36954,13301860,21124780,203965,8517952,22304610,2837136,23277510,658266,16214980,3096342,3152590,2482214,35174050,17902970,398,21874280,2282047,2850003,2343900000,27,12499980,22643070,53862,"N"
6845270.5,382612,2022232,3442343,5370488,2796,267143,6376,6454780,3327.5,4554393,2570761,1895159,9974695,7012685,502439,31185240,983713,939284,10614570,49850,8107569,13447400,142137,7653288,17787220,3438822,12528800,782804,11663950,1421723,3432388,2453798,18190010,11140490,464,27729630,2781275,2305876,1861634000,21,11295490,73958260,123183,"S"
7708885,2024706,8601106,2527428,5459800,332046.4,800889.6,2370.8,16317110,4180.04,4247819,2360598,2000706,9080862,9457454,665926,24906070,2243448,12590.63,12133820,55040,9058892,14217040,177033.3,8629119,29466860,1920918,14724410,293301,43647256,1802797.5,3791797,5455231,23902260,14670430,526.7727,11299680,2523997,2104420,1028965000,14,10082720,17612170,52174.14,"S"
8606834,1959561,5440096,4649204,7594451,201628.4,2029737,887.6,19424280,16370.48,4908426,3055966,3312694,5640938,10401830,529334,24984940,2001033,507406.3,8832436,76185,15352540,20035250,79381.82,8660206,25573200,4189285,25878830,659942.3,36323564,3343937,7484346,5720294,47856040,5182681,1016.636,4897934,3578943,2225808,270800900,14,12125900,19423680,75155,"N"
