Index	Var	Importance
38	U4ATAC_0h	0.740176151761518
9	PTB_0h	0.736212737127371
30	TRA2A_0h	0.729776422764228
37	U4_0h	0.710060975609756
21	SRM160_0h	0.685873983739837
8	PSF_0h	0.653014905149051
33	U12_0h	0.650982384823848
28	SRSF9_0h	0.619275067750678
17	sf3btv1_0h	0.605453929539295
19	SKIP_0h	0.598814363143631
39	U5_0h	0.587771002710027
15	SAM68TV1_0h	0.581470189701897
10	RAVER1_0h	0.57889566395664
26	SRSF5_0h	0.573678861788618
23	SRSF10_0h	0.567107046070461
24	SRSF3_0h	0.562364498644986
34	U2_0h	0.544105691056911
40	U6_0h	0.531537940379404
4	FBP11_0h	0.52679539295393
29	TIA1_0h	0.518055555555556
41	U6ATAC_0h	0.506063685636856
18	SF3BTV2_0h	0.483028455284553
31	TRA2B_0h	0.482554200542005
2	CUGBP_0h	0.477066395663957
1	CA150_0h	0.476016260162602
11	RBM17_0h	0.459180216802168
20	SND1_0h	0.455792682926829
36	U2AF2_0h	0.44590108401084
25	SRSF4_0h	0.43519647696477
3	ESRP1_0h	0.418462059620596
22	SRSF1_0h	0.413313008130081
16	SC35_0h	0.412567750677507
5	MAGOH_0h	0.399762872628726
27	SRSF6_0h	0.39569783197832
12	RBM22_0h	0.391090785907859
13	RBM3_0h	0.371172086720867
32	U11_0h	0.370833333333333
14	RBM45_0h	0.361415989159892
35	U2AF1_0h	0.328014905149052
7	PRP8_0h	0.31480352303523
6	NOVA1_0h	0.300643631436314
