Type,Comparison,Statistic
Numericvs.Numeric,PCA3exp-sst5TMD4exp,0.763574026852457
Numericvs.Numeric,SF3B1-SRSF3,0.728650794049892
Numericvs.Numeric,SRRM1-SRSF3,0.626220341482888
Numericvs.Numeric,KHDRSB1-SRSF3,0.611154727592017
Numericvs.Numeric,SF3B1tv1-SF3B1,0.595973514071727
Numericvs.Numeric,SRSF3-U4ATAC,0.557571170693126
Numericvs.Numeric,KHDRSB1-SRRM1,0.548320077399452
Numericvs.Numeric,SF3B1-SRRM1,0.537014370835443
Numericvs.Numeric,RNU11-PCA3exp,0.517078375785417
Numericvs.Numeric,NOVA1-SRRM1,0.514409081557213
Numericvs.Numeric,SF3B1-U4ATAC,0.507411365964756
Numericvs.Numeric,RAVER1-U2AF2,0.504625924282713
Numericvs.Numeric,NOVA1-KHDRSB1,0.490646838569061
Numericvs.Numeric,RNU11-U4ATAC,0.482325777149714
Numericvs.Numeric,NOVA1-PSAexp,0.482229013742835
Numericvs.Numeric,NOVA1-U2AF2,0.468249246077708
Numericvs.Numeric,SF3B1tv1-PCA3exp,0.463776062141963
Numericvs.Numeric,RNU11-sst5TMD4exp,0.453379959774916
Numericvs.Numeric,SF3B1-RNU11,0.44634144981344
Numericvs.Numeric,RBM3-snRNP200,0.441690779334677
Numericvs.Numeric,RBM22-RNU11,0.436569467673585
Numericvs.Numeric,KHDRSB1-RNU11,0.435873917995344
Numericvs.Numeric,PRPF40A-SRRM4,0.429849920545347
Numericvs.Numeric,SRRM4-sst5TMD4exp,0.42203002122407
Numericvs.Numeric,RNU11-snRNP200,0.421987953434681
Numericvs.Numeric,PRPF40A-MAGOH,0.421540675010936
Numericvs.Numeric,RBM22-U4ATAC,0.416992943336861
Numericvs.Numeric,KHDRSB1-SF3B1,0.413751305504163
Numericvs.Numeric,U4ATAC-PCA3exp,0.410028871510091
Numericvs.Numeric,KHDRSB1-U2AF2,0.402955342507101
Numericvs.Numeric,PRPF8-RBM3,0.402549563275895
Numericvs.Numeric,RBM22-SF3B1,0.400878972545477
Numericvs.Numeric,NOVA1-SRRM4,0.40068972121048
Numericvs.Numeric,SF3B1tv1-RNU11,0.396204143874478
Numericvs.Numeric,RBM3-SRSF3,0.395741058330825
Numericvs.Numeric,NOVA1-SRSF3,0.393647763683911
Numericvs.Numeric,BMI-Arexp,0.388284982386146
Numericvs.Numeric,snRNP200-PCA3exp,0.385288082987414
Numericvs.Numeric,KHDRSB1-snRNP200,0.385227510137363
Numericvs.Numeric,PRPF8-sst5TMD4exp,0.376653970768908
Numericvs.Numeric,RBM22-SRRM1,0.362371188131117
Numericvs.Numeric,SF3B1tv1-BMI,0.359596971990402
Numericvs.Numeric,KHDRSB1-U4ATAC,0.353154920130816
Numericvs.Numeric,U2AF2-sst5TMD4exp,0.350382908854178
Numericvs.Numeric,SRSF3-In1Ghrelinexp,0.349737711904002
Numericvs.Numeric,SRRM1-U4ATAC,0.347774843129246
Numericvs.Numeric,U2AF2-snRNP200,0.347076957716434
Numericvs.Numeric,SRSF6-U2AF2,0.345586595897798
Numericvs.Numeric,RBM22-SRSF3,0.340271303113161
Numericvs.Numeric,SRRM1-PSAexp,0.338662590771941
Numericvs.Numeric,snRNP200-sst5TMD4exp,0.338249743861505
Numericvs.Numeric,RNU12-Age,0.336556509175514
Numericvs.Numeric,SRSF3-PSAexp,0.335935890996199
Numericvs.Numeric,U4ATAC-sst5TMD4exp,0.334533675187186
Numericvs.Numeric,SRRM1-snRNP200,0.332706592560271
Numericvs.Numeric,RBM3-SRRM1,0.330681855290945
Numericvs.Numeric,RBM3-RNU11,0.33004745154129
Numericvs.Numeric,PRPF40A-NOVA1,0.329838960352222
Numericvs.Numeric,NOVA1-RBM3,0.327555704903793
Numericvs.Numeric,NOVA1-PRPF8,0.327192031310694
Numericvs.Numeric,SF3B1tv1-U4ATAC,0.325717125980031
Numericvs.Numeric,RNU12-PSA,0.322130916522044
Numericvs.Numeric,RBM3-SF3B1,0.31572192564287
Numericvs.Numeric,RBM3-In1Ghrelinexp,0.309425833879661
Numericvs.Numeric,SRRM4-KHDRSB1,0.303130060988013
Numericvs.Numeric,U4ATAC-snRNP200,0.30138665575224
Numericvs.Numeric,SF3B1-Age,0.300736185870845
Numericvs.Numeric,RBM22-BMI,0.299747585362378
Numericvs.Numeric,SRSF3-BMI,0.298834950451944
Numericvs.Numeric,KHDRSB1-RNU12,0.298752695417698
Numericvs.Numeric,SRSF3-RNU11,0.296210796529571
Numericvs.Numeric,NOVA1-RNU12,0.292042539127466
Numericvs.Numeric,PRPF40A-PRPF8,0.28730987802224
Numericvs.Numeric,PRPF8-RNU11,0.286582079060586
Numericvs.Numeric,SRRM4-SRSF3,0.280976855859508
Numericvs.Numeric,PRPF8-BMI,0.274571325143246
Numericvs.Numeric,MAGOH-PRPF8,0.273112778014058
Numericvs.Numeric,RBM3-BMI,0.273040573659784
Numericvs.Numeric,RNU12-PCA3exp,0.272291887796419
Numericvs.Numeric,RBM22-SF3B1tv1,0.27033422483004
Numericvs.Numeric,KHDRSB1-sst5TMD4exp,0.269572181438464
Numericvs.Numeric,RNU11-RNU12,0.265899654070453
Numericvs.Numeric,PSAexp-Arexp,0.263633158499342
Numericvs.Numeric,SF3B1tv1-SRSF3,0.262306707579442
Numericvs.Numeric,PRPF8-snRNP200,0.262252586820403
Numericvs.Numeric,SFPQ-In1Ghrelinexp,0.260693275316752
Numericvs.Numeric,RNU12-In1Ghrelinexp,0.258294997565078
Numericvs.Numeric,Age-PCA3exp,0.257506521952756
Numericvs.Numeric,SRRM1-Age,0.256572499524174
Numericvs.Numeric,RBM3-KHDRSB1,0.253021555384991
Numericvs.Numeric,snRNP200-PSA,0.251416297690467
Numericvs.Numeric,RBM22-RBM3,0.250966798676952
Numericvs.Numeric,SRRM4-In1Ghrelinexp,0.248983895216683
Numericvs.Numeric,PRPF8-U2AF2,0.240061790906915
Numericvs.Numeric,SRRM4-GleasonScore,0.237923103211331
Numericvs.Numeric,U2AF2-PSA,0.229677496273531
Numericvs.Numeric,RAVER1-SRSF6,0.224938754951899
Numericvs.Numeric,MAGOH-U4ATAC,0.224786698305793
Numericvs.Numeric,SF3B1-BMI,0.224612969327835
Numericvs.Numeric,RBM22-KHDRSB1,0.221639575403895
Numericvs.Numeric,RNU12-sst5TMD4exp,0.219283344801256
Numericvs.Numeric,SRSF6-PCA3exp,0.217545324398101
Numericvs.Numeric,U2AF2-PCA3exp,0.214593761299735
Numericvs.Numeric,SRSF3-RNU12,0.214061348490176
Numericvs.Numeric,PRPF40A-In1Ghrelinexp,0.213971669885755
Numericvs.Numeric,PRPF40A-BMI,0.210560416153903
Numericvs.Numeric,SRRM1-sst5TMD4exp,0.209670423905812
Numericvs.Numeric,SFPQ-PSAexp,0.209093391730852
Numericvs.Numeric,PSAexp-In1Ghrelinexp,0.203896803478995
Numericvs.Numeric,KHDRSB1-PCA3exp,0.200918843182089
Numericvs.Numeric,MAGOH-RBM3,0.19955182803783
Numericvs.Numeric,Age-Arexp,0.196355919560764
Numericvs.Numeric,RBM3-PSAexp,0.19538571365275
Numericvs.Numeric,RNU11-U2AF2,0.19519709679183
Numericvs.Numeric,RAVER1-KHDRSB1,0.194970402398651
Numericvs.Numeric,PRPF40A-SRSF3,0.194962123159299
Numericvs.Numeric,SF3B1-PSAexp,0.193865948952309
Numericvs.Numeric,U4ATAC-GleasonScore,0.192217217972799
Numericvs.Numeric,RNU11-Age,0.188402119157475
Numericvs.Numeric,SRSF3-Age,0.186802543231316
Numericvs.Numeric,PRPF8-SRSF3,0.18676812154306
Numericvs.Numeric,PRPF8-GleasonScore,0.184208946132882
Numericvs.Numeric,RNU12-U2AF2,0.182841732583775
Numericvs.Numeric,NOVA1-BMI,0.182252419271781
Numericvs.Numeric,RAVER1-BMI,0.18060111933799
Numericvs.Numeric,PRPF8-PCA3exp,0.180414685888451
Numericvs.Numeric,RBM3-PSA,0.17788934207489
Numericvs.Numeric,NOVA1-sst5TMD4exp,0.176535136522415
Numericvs.Numeric,NOVA1-SF3B1,0.174350223888937
Numericvs.Numeric,MAGOH-In1Ghrelinexp,0.172823612463452
Numericvs.Numeric,SRRM4-U2AF2,0.172641557565859
Numericvs.Numeric,RAVER1-GleasonScore,0.172474066070479
Numericvs.Numeric,MAGOH-snRNP200,0.168345438723247
Numericvs.Numeric,PRPF40A-RBM3,0.165922572130015
Numericvs.Numeric,U4ATAC-PSAexp,0.165717160431434
Numericvs.Numeric,GleasonScore-PSA,0.161545963293342
Numericvs.Numeric,SRRM1-BMI,0.161131264003949
Numericvs.Numeric,SFPQ-SRSF6,0.160502123396482
Numericvs.Numeric,Age-sst5TMD4exp,0.159971249315787
Numericvs.Numeric,Age-In1Ghrelinexp,0.159523795069946
