CA150,CUGBP,ESRP1,ESRP2,FB11,MAGOH,NOVA1,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,SF3BTV1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4ATAC,U5,U6,U6ATAC,Clase-enfermo-sano
2622306.19827691,2130026.99981803,465992.001800976,3435082.9799171,5513921.6028701,536198.529756992,422275.656743337,8575014.11238018,18076.1659047617,5283490.92014971,449509.434316965,1833600.95859403,3792665.17477196,4346606.4693619,342357.947774444,15062301.2562639,1689334.02927761,1747132.80124147,17850312.8502813,79024.2928624841,11174022.8644399,5064101.67081829,95004.3430059958,11751006.901374,20385216.2696014,2341568.10594651,35040270.6428773,1232662.7024237,32886257.7798158,2004354.12423723,5214375.15565491,3411639.47564411,26287613.2420389,60044899.6385848,7462.25256021495,456284012.275047,4398073.3155036,1045572.47171409,2119640490.16318,25462.3069105096,15729488.6898942,44144978.5379868,233059.126971162,S
2965287.65823753,4707454.49270958,338627.94104531,8575026.29092366,6403375.1055245,769749.709875043,352462.341166212,13633800.1516166,15844.0260723932,4820031.27335403,715812.887033133,2246195.85701765,3238648.14675133,3873382.81897093,492781.282909413,23015537.1546852,2995075.60635643,2331391.86422761,11675986.2034252,184149.510180151,14527723.5200265,7902409.92680521,123287.560691728,9558073.65965542,27454222.6432756,2443999.69986865,33749750.1483877,1112063.08735105,47410758.0759737,1720406.07233811,5099013.64493868,5440176.04683621,33598103.8398966,24471151.5295258,889.94277700963,38270138.0277789,6993522.36696451,1886739.98837272,1418252226.80199,334.518597014662,18946543.1894143,15847453.2609929,55515.5388542939,S
5399815.71499396,2727664.84690219,1760781.18301978,1662881.67643534,5146622.73508439,424784.328047926,978019.502377854,7416983.73509284,10527.790385627,4452581.51928576,447517.075822871,2111730.19998835,4553280.53396293,4839745.69978411,520999.656658602,7161985.67790401,1485423.52336726,2730300.34139208,34672914.2317864,107793.65159,8373173.16627554,3671074.04928613,600192.059980785,11773021.0293724,18646175.814713,2675443.32729604,37960348.3916019,1631273.39365953,29934211.0486298,4181138.47664431,5461598.38351522,4869164.34549532,67470579.1343887,66963258.8162693,1195.9538687726,668338457.917336,3938014.32356524,923973.243013303,1527108305.50485,1638.65121946429,13610076.1466463,53951788.622237,215096.387014507,S
3038965.45548875,2721708.3479976,654324.693471315,3273416.48498255,5262223.12075922,443699.957093918,419429.636194506,9222247.37488982,13251.1235447962,4910218.44721182,307489.571375035,1845341.39463526,3639753.92168191,4852867.29579154,356891.060050638,15930977.1654408,1424580.10126224,1344178.27233986,15340860.8945552,59017.7737309119,10756826.0936209,5399543.45657453,269063.281717227,11336087.4749791,30035763.2788019,2004969.60569833,27723510.3395988,1424788.03909412,36678423.9749715,2098844.55748367,5017015.0215552,3431829.99721056,30972495.1886193,45376983.8505404,1341.53914870941,264370770.573575,3721582.31553446,916484.171036433,2536533564.7017,985.692568496832,14447901.3172858,28091840.1974698,67317.97587398,S
5296241.93944597,3423821.6050122,1515150.07859975,2088345.67464764,3956776.42145544,416337.579814601,575872.47818551,7694416.53670056,7153.64441364235,4477586.54327011,168225.569447098,1259933.32381401,3012372.34531364,4235888.42245558,219166.077722025,10897240.5622993,1185405.41554001,1391876.93358584,21654218.1539558,34509.2638403639,13008489.7809936,4929206.78586426,725673.217466223,8983042.15184302,17986954.2644947,1112075.99290391,25259062.3334295,491688.551443176,37739495.8738613,3033559.30198892,3943602.02419967,3467706.88504307,25758890.392227,58032565.5272603,2545.73881960443,763425414.384086,3458520.40500842,421022.249776967,2316381633.07733,7532.83514594794,8677059.12148834,34069691.1171693,142695.318529271,S
4414386.41120918,4061762.84381852,623182.653177723,5971581.21302038,6800207.585682,457577.147249043,705368.41730999,15585035.9328795,8139.36538913698,4935570.30469373,533688.559229485,2117051.19713743,4272553.56936057,5862751.54932017,357711.210596259,20673963.3758877,2067600.92089572,1376410.53441456,19727216.5469844,82199.262972821,14672878.6305129,8282094.96371701,251474.850349539,12469624.843392,32665148.8936314,2908144.53704679,40101561.9264633,885696.933662008,45149240.1305483,1576791.02756527,7328620.53895443,5188374.70737624,54023479.954207,44973917.039073,218.159793533237,186274894.830366,5904092.29538427,1681797.81444283,2495224224.17456,641.286462145587,23885172.0272484,21196451.124275,62544.8388311824,S
4011442.60267912,2709457.12921443,638753.673324519,1833818.62617453,4030194.68181817,307529.389480669,1519586.1502786,5929927.39404263,9649.76379540034,4958193.4715763,271121.821102957,2215168.51040339,4637291.49997978,5239766.53928319,205148.979584764,11050646.8557224,579477.213125365,1057155.08592082,48399079.1003272,6340.39447182224,9927048.75953265,8827486.51958332,1486549.28445251,10873743.7718024,28280706.6695508,1598717.42036794,40002286.404178,676529.652204598,52150626.1170519,4108732.32163435,4288465.35808188,2221974.2498195,50605727.4952892,59038732.5829226,1591.2438574744,1195.9538687726,3768533.81885638,491210.723000374,2218011061.62025,853.883413167114,13977405.3194947,31080765.6573196,349085.033073978,S
6709921.07677318,2153286.68808741,2303873.14837755,2053692.6852729,3975651.67889726,210165.494842032,935283.953424764,6523183.56920762,11405.8169758536,3430544.91757729,309544.334961053,1404468.8763221,3057973.44845932,6125595.3826715,205657.289685811,10251283.3361803,1132159.87698832,832178.868960898,24758398.8490052,24924.1900353281,8845487.63653585,6200410.24996368,822096.665509537,7544646.21355674,19735472.7347448,1783733.68893327,28754105.5665527,504682.834974853,25184512.6122939,1507256.79860375,3719379.54895692,2424830.55513735,29266434.0325014,117619937.588654,1050.36858883579,995245648.951815,3321822.37750236,836959.204822019,1967941747.56386,722.074257837396,12086246.0533302,50756182.4860475,87961.5244839951,S
3608498.79414905,2684589.31700898,604243.083219498,3908681.44747973,6044817.19386025,481983.597953005,772997.446695076,10834170.1731749,4745.19798030309,4228798.03435412,383367.523189327,1915807.72010099,4686843.78261667,5460221.82792221,487757.306396716,18311188.403226,1807126.90863559,1243258.92309916,18437973.642565,72137.5111592076,16895236.7915768,8413300.32663072,229165.380487669,9638668.4687874,29453645.8199102,2633787.73396159,36754939.1389228,675239.916396355,43016598.6315819,2202607.38911814,7629307.76783647,4480824.66573961,48827214.6239367,74673161.3409744,499.903215493868,300766351.544207,4980290.41436393,1167315.71674313,3008832467.99359,277.065254343575,17745192.9829391,25170086.1072199,50057.5030213057,S
5351149.2433781,2232689.15290438,1632946.05137556,3814729.71390213,4875444.12670528,431849.043732557,535495.203370542,5843523.19825963,4015.97891995059,5180743.08260814,332145.378104615,1211841.69000588,2686327.5274918,4700087.24576324,298915.476984844,17509297.1312639,1910036.68666368,1326529.48907308,13635475.8252306,20000.0928402518,10840263.1300594,7267712.10124541,336618.047782784,7897373.43763469,20717202.2432815,951808.376860805,25807021.3121214,678946.384188531,32054731.1427141,975262.795832021,3283683.35198753,2851508.16219042,12000651.7813328,82585265.3419885,2024.26822491687,1126573138.18517,4334693.07662218,706292.500757191,3081593668.62627,35.3877817857055,10171272.5713944,30983856.6038013,181496.019566432,E
