TRA2B,U6ATAC,SRSF4,RAVER1,TRA2A,SND1,Clase
0.304684,0.895274,0.119358,0.226672,0.132206,0.239937,G1
0,1,0,0.122157,0,0,G1
0.465607,0.010418,0.624734,0.669741,0.268814,0.607748,G3
0.403431,0.164883,0.37099,0.368305,0.142816,0.531684,G3
0.882721,0.038592,0.940635,1,0.350636,1,G3
0.619469,0.008172,0.869857,0.65261,0.268592,0.493278,G3
0.737996,0.054748,0.860865,0.896384,0.203685,0.713209,G3
0.569675,0.130301,0.592733,0.636145,0.338566,0.43217,G2
0.757372,0.012342,0.702348,0.834055,0.364691,0.501854,G3
0.791249,0.053061,0.777809,0.534937,0.342014,0.348376,G2
0.551851,0.023134,0.537138,0.389305,0.173905,0.33448,G3
0.471295,0.141816,0.460613,0.514624,0.191229,0.641415,G3
0.573708,0.042717,0.601582,0.533008,0.348411,0.423083,G2
0.808644,0.182394,0.850697,0.417255,0.354219,0.348919,G2
0.80905,0,0.85513,0.794789,0.305471,0.762631,G3
0.693128,0.267375,0.571672,0.369206,0.281629,0.436561,G2
0.702674,0.080567,0.787867,0.233391,0.474332,0.40285,G2
0.550449,0.329459,0.728357,0.313328,0.222283,0.267112,G3
0.561223,0.163344,0.338416,0.528854,0.549038,0.423083,G2
0.711572,0.146359,0.802862,0.56401,0.609405,0.516221,G2
0.416303,0.352556,0.349202,0.291011,0.845886,0.126391,G2
0.513196,0.155986,0.525636,0.324154,0.545739,0.419265,G2
0.636651,0.132646,0.513686,0.373475,1,0.451209,G2
0.564467,0.135994,0.447392,0.518862,0.184607,0.506041,G3
0.266749,0.935533,0.162593,0,0.384454,0.090423,G1
0.302626,0.054614,0.242297,0.128398,0.130427,0.301503,G1
0.570469,0.276102,0.522311,0.49033,0.339422,0.521068,G2
0.691204,0.088575,0.592624,0.59448,0.275546,0.459817,G2
0.580348,0.061746,0.45156,0.638414,0.240126,0.634105,G3
1,0.204297,1,0.726918,0.791725,0.500814,G2
0.677746,0.46927,0.513686,0.432557,0.29397,0.460934,G2
0.721465,0.635297,0.928297,0.532789,0.49507,0.32047,G2
